Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Total_income,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
1,5.706577734517924,30.0,1.0,0,1.8817903576490997,1,1,0,0,0,0
0,4.817258701477402,30.0,1.0,1,1.8730227117243297,1,1,0,1,0,1
0,5.61822967870542,30.0,1.0,1,1.8795303795066296,1,1,1,0,0,1
0,5.839690430714158,30.0,1.0,1,1.8816359496284023,1,0,0,0,0,1
2,6.739696673444647,30.0,1.0,1,1.8859352338328939,1,1,0,1,0,1
0,5.301517980921143,30.0,1.0,1,1.8764861260275263,1,1,1,0,0,1
3,5.997420909860942,30.0,0.0,0,1.8807970210071228,1,1,0,0,1,0
2,6.0829405713838645,30.0,1.0,1,1.8807814953369246,1,1,0,0,0,1
1,7.128506328823537,30.0,1.0,0,1.8917322407173596,1,1,0,0,1,0
2,4.894715146761467,30.0,1.0,1,1.8766567497427782,1,1,0,0,0,1
2,5.487303456131847,30.0,1.0,1,1.8779994866879997,1,1,0,0,0,1
2,6.327781875682761,30.0,1.0,1,1.887101302013607,1,1,0,0,0,1
0,5.548277748664887,30.0,1.0,0,1.878934997567762,1,0,0,0,0,0
2,3.1115682103196063,10.0,1.0,1,1.8694070286465316,1,1,0,0,0,1
0,5.6740685305329,30.0,1.0,1,1.8795511264631326,1,0,0,0,0,1
1,5.370643883898375,20.0,1.0,1,1.8755857518874817,1,0,1,0,0,1
0,5.0034704556017955,30.0,0.0,0,1.875257350871204,0,0,0,0,0,1
0,5.75920921795321,30.0,1.0,0,1.8794046756755083,1,1,1,0,0,0
0,5.560171916509316,30.0,1.0,1,1.8818054374887863,1,1,0,0,0,1
0,5.423656128997128,30.0,0.0,0,1.8839964875928017,1,1,1,0,0,1
1,6.978902112422351,30.0,1.0,1,1.8873605234698463,1,1,0,0,0,1
0,5.571969785568005,30.0,0.0,0,1.878466616046599,1,1,1,0,1,0
2,5.524193909103803,30.0,0.0,0,1.880278371408073,1,1,1,0,0,0
1,5.934491784217392,30.0,1.0,0,1.8826553269453659,1,1,0,0,1,0
0,6.262852701363819,30.0,1.0,1,1.8858907351555452,1,1,0,1,1,0
